Seq,DateListed,年度,類別,項目別,總計,民意代表_主管及經理人員,專業人員,技術員及助理專業人員,事務支援人員,服務及銷售工作人員,農_林_漁_牧業生產人員,技藝有關工作人員,機械設備操作及組裝人員,基層技術工及勞力工,其他,樣本數_人,母體數_人
40,"20230401","103","縣市","嘉義市","100","0.55268459132388","7.51004226734928","9.64713499960148","2.88769231131905","30.6192199157623","0","9.0857367054453","6.40399490726689","32.5634861396529","0.730008162278964","121.965569504178","950.770728281848"
41,"20230401","104","總計","-","100.000000000001","0.162755817983664","6.3702051522344","4.56272501964662","5.83057984772553","23.6529613860011","5.54244408048975","19.214708373636","16.9681775958799","15.5939159019026","2.10152682450099","30945.3724111569","237395.248278043"
42,"20230401","104","行政區域","山地鄉","100","0.201834503100101","7.44467408667214","4.13502171970451","5.06872670828544","17.7232108323375","10.503987883605","17.0486184975392","14.9677232875977","19.2471875562806","3.65901492487825","9178.91296576745","70413.5396019066"
43,"20230401","104","行政區域","平地原住名民鄉鎮市","100","0.13631292603048","5.75366958767466","4.24308561891243","4.84268149006655","23.4467396676788","7.33737095090834","24.5329304658928","11.8973410788446","15.7226550472305","2.08721316676109","7690.40357751034","58995.0345880954"
44,"20230401","104","行政區域","非原住民鄉鎮市","100","0.151720482126596","6.00641374702798","5.01623691047905","6.86705842186107","27.6321633243322","1.32663099322375","17.7216848837506","21.042877072339","13.1414396044325","1.09377456042772","14076.0558678789","107986.674088041"
45,"20230401","104","統計區域","北部地區","100","0.236242098594806","5.85334330967255","4.47902211962365","7.12018113657965","26.0138978866618","2.21431225293039","17.8394580482259","21.3908559493736","14.2020410417561","0.650646156581947","10833.1123708574","83109.9623402092"
46,"20230401","104","統計區域","北部地區_山地鄉","99.9999999999998","0.463439421200974","9.27796504698947","2.56267754454162","5.89605845161678","19.0435659235206","9.02858599718574","11.7930417232051","20.7086135511444","19.3361647064801","1.88988763411488","1722.97744155655","13218.2867219717"
47,"20230401","104","統計區域","北部地區_平地原住民鄉鎮市","100","0","0.900527798643749","0","2.39228002783692","16.3627039483572","0.838771522671312","14.4207963414809","19.9686602850906","45.1162600759194","0","29.8751651375126","229.166547894859"
48,"20230401","104","統計區域","北部地區_非原住民鄉鎮市","99.9999999999995","0.193909133477335","5.21982302747069","4.8573782029799","7.36800857832667","27.3682501558104","0.925845939690145","18.9979966739992","21.5249882886932","13.1261564013158","0.417643598236031","9080.25976416336","69662.5090703434"
49,"20230401","104","統計區域","中部地區","99.9999999999998","0.116387487534611","6.25729159890722","4.06104413467266","4.16808001235277","22.3975482172031","9.76114665949267","12.9518499605003","16.9017787388768","22.5457157896038","0.839157400855914","4621.44800802656","35453.7158334644"
50,"20230401","104","統計區域","中部地區_山地鄉","100","0.0500374393132291","5.5205373847483","4.13953496227451","2.97831039228793","15.8754944474867","20.628247596649","6.35271598393253","11.8155369815165","31.8909710978628","0.748613713928538","1837.4143865676","14095.2042346889"
51,"20230401","104","統計區域","中部地區_平地原住民鄉鎮市","100","0.94089156686882","5.59833423761999","4.60232324441382","2.72796226972023","16.9699704585289","5.49716899603673","13.0782192757652","18.4547017008341","29.1637493366471","2.96667891356512","182.270920462358","1398.71588179861"
